New standard or amendments,"Effective for annual periods
beginning on or after"
"— Amendments to IAS 37 Onerous Contracts – Cost of Fulfilling a
Contract",1 January 2022
"— Amendments to IAS 16 Property, Plant and Equipment: Proceeds
before Intended Use",1 January 2022
— Annual Improvements to IFRS Standards 2018–2020,1 January 2022
— Amendments to IFRS 3 Reference to the Conceptual Framework,1 January 2022
