2022,Column,Column,Column,2021,Column,Column
Name,"Fees
KShs ‘000","Sitting
allowance
KShs ‘000","Total
KShs ‘000","Fees
KShs ‘000","Sitting
allowance
KShs ‘000","Total
KShs ‘000"
,"3,000",720,"3,720","3,000",480,
,"1,800",720,"2,520","1,800",480,
,"1,800",720,"2,520","1,800",560,
,"1,800",720,"2,520","1,800",400,
,"1,800",720,"2,520","1,800",400,
,"1,800",800,"2,600","1,800",560,
,-,-,-,-,-,
,"12,000","4,400","16,400","12,000","2,880",
