Column,"Revaluation
reserve
KShs ‘000",Column
"Share
Premium
KShs ‘000",,"Revenue
reserve
KShs ‘000"
,"73,039
-
-",
545,,"702,593"
-,,"340,500"
-,,"(182,250)"
,"73,039
-",
545,,"860,843"
-,,"342,682"
,"-
470,394
(141,118)",
-,,763
-,,-
-,,-
-,"329,276",763
,"-
-",
-,,"(202,500)"
-,,"(101,250)"
,"402,315",
545,,"900,538"
