Board Member,Age,Status,Date of Appointment,Date of retirement
Michael G. Waweru,72,NED,6th Aug 2012,"To retire by rotation - Reappointment by a
special notice in 2023 AGM (Over 70 yrs.)"
Peter Kanyago,75,NED,12th Mar 2004,"To retire by rotation - Reappointment by a
special notice in 2023 AGM (Over 70 yrs.)"
"TransCentury PLC represented
by Nganga Njiinu",45,NED,12th Mar 2004,To retire by rotation in 2024 AGM
"Cable Holdings (K) Limited
represented by Wanjuki
Muchemi",71,NED,28th Aug 2018,"To retire by rotation - Reappointment by a
special notice in 2023 AGM (Over 70 yrs.)"
Amb. Denis Awori,68,INED,1st Jul 2013,To retire by rotation in 2024 AGM
Julius Mwatu,51,INED,24th Nov 2020,To be re-appointed in 2023 AGM
Carole Kariuki,48,INED,15th Mar 2019,To retire by rotation in 2025 AGM
