"Balance at
31 December
KShs’000"
"( 8,964)
( 379,729)
( 528,669)
1,219,162
47,513
( 3,282)"
"346,031"
"(8,414)
( 335,484)
( 392,515)
1,281,127
47,513
4,071"
"596,298"
