New standard or amendments,"Effective for annual periods
beginning on or after"
IFRS 9 Financial Instruments (2014),1 January 2018
IFRS 15 Revenue from Contracts with Customers,1 January 2018
"Classification and Measurement of Share-based
Payment transactions (Amendments to IFRS 2)",1 January 2018
"Applying IFRS 9 Financial Instruments with IFRS 4
Insurance Contracts (Amendments to IFRS 4)",1 January 2018
"IFRIC Interpretation 22 Foreign Currency Transactions
and Advance Consideration",1 January 2018
IFRS 16 Leases,1 January 2019
IFRIC 23 Income tax exposures,1 January 2019
IFRS 17 Insurance Contracts,1 January 2021
"Sale or Contribution of Assets between an Investor
and its Associate or Joint Venture (Amendments to
IFRS10 and IAS 28)",To be determined
Transfers of Investment Property (Amendments to IAS 40),1 January 2018
"Annual improvements cycle (2014-2016) –
(Amendments to IFRS 1 First time adoption of IFRSs
and IAS 28 Investments in Associates and Joint
Ventures)",1 January 2018
"Prepayment Features with Negative Compensation
(Amendments to IFRS 9)",1 January 2019
"Long-term Interests in Associates and Joint Ventures
(Amendments to IAS 28)",1 January 2019
