Column,MWAnACHAMA,MAHUDHURIo
1,ZG Mbugua,3 / 3
2,N Njiinu,2 / 3
3,PT Kanyago,2 / 3
4,MG Waweru,2 / 3
5,GM Njoroge,1 / 3
6,JB Thomas,1 / 3
7,D Awori,2 / 3
8,P Arina,3 / 3
9,V Ndunge,3 / 3
