Column,2024,Column,Column,Column,2023,Column,Column,Column
Name,Fees,"Sitting
allowance",Total,,Fees,"Sitting
allowance",Total,
,,,,Total,,,,
,KShs '000,KShs '000,,KShs '000,KShs '000,KShs '000,,KShs '000
MG Waweru,"1,500",-,,"1,500","3,000",480,,"3,480"
D Awori,"2,400",560,,"2,960","1,800",640,,"2,520"
PT Kanyago,"1,800",400,,"2,200","1,800",560,,"2,520"
C Kariuki,"1,800",240,,"2,040","1,800",400,,"2,520"
"Cable Holdings
Limited
Represented by W
Muchemi","1,800",480,"2,280",,"1,800",560,"2,360",
,,,,"2,280",,,,"2,360"
J Mwatu,"1,800",480,,"2,280","1,800",480,,"2,280"
"TransCentury PLC
Represented by N
Njiinu",-,-,-,,-,-,-,
,,,,-,,,,-
Total Company,"11,100","2,160",,"13,260","12,000","3,120",,"15,120"
