Group,Column,Company
2016,"2015
Kshs ‘000",2016
Kshs ‘000,,Kshs ‘000
"(810,349)","(1,087,004)
213,338
15,379
1,919
510
( 40,000)
125,027
( 30,681)
1,096","(450,794)"
"232,680",,"155,166"
"32,508",,"31,773"
"6,466",,"4,975"
195,,-
-,,-
"258,851",,"180,396"
"( 2,147)",,111
"4,834",,"3,122"
"(276,962)","( 800,416)","( 75,251)"
"306,961","32,839
905,000
9,520","308,227"
"659,815",,"498,184"
"( 92,751)",,"(129,720)"
"597,063","146,943","601,440"
