"2009
KShs ‘000"
"2,050,129"
"(1,246,694)"
"803,435"
"122,604"
"( 121,213)"
"( 143,625)"
"( 51,678)"
"( 62,265)"
"547,258"
"13,702"
"( 71,953)"
"( 58,251)"
"489,007"
"( 146,325)"
"342,682"
"470,394"
"(141,118)"
"329,276"
"671,958"
