Column,Column,Column,Board Member,Column,Age,Column,Status,Column,Column,Date of,Date of retirement,Column
,,,,,,,,,,Appointment,,
1.,,,A mb. Denis Awori,,70,,NED,,1st Jul 2013,1st Jul 2013,,To retire by rotation. Reappointment by a
,,,,,,,,,,,,special notice in 2025 AGM (Over 70
,,,,,,,,,,,,yrs.)
2.,,,P eter Kanyago,,77,,NED,,12th Mar 2004,,,To retire by rotation - Reappointment by a
,,,,,,,,,,,,special notice in 2025 AGM (Over 70
,,,,,,,,,,,,yrs.)
3.,,,,T ransCentury PLC,47,,CD,,12th Mar 2004,,To retire by rotation in 2027 AGM,To retire by rotation in 2027 AGM
,,,,represented by Nganga,,,,,,,,
,,,,Njiinu,,,,,,,,
4.,,,,C able Holdings (K),73,,CD,,28th Aug 2018,,,To retire by rotation. Reappointment by a
,,,,Limited represented by,,,,,,,,special notice in 2025 AGM (Over 70
,,,,Wanjuki Muchemi,,,,,,,,yrs.)
,5,.,,J ulius Mwatu,,53,,INED,,24th Nov 2020,,To retire by rotation in 2026 AGM
,6,.,,C arole Kariuki,,50,,INED,,15th Mar 2019,,To retire by rotation in 2025 AGM
