Type,Column,Column,Inter-relationship
,,,between significant
,,,unobservable
,,Significant,inputs and fair value
,Valuation technique,unobservable inputs,measurement
"Property,
plant, and
equipment","Items of property, plant and equipment in",The factory buildings,The management
,"Kenya and Tanzania, other than motor",are in prime locations,adopted the revalued
,"vehicles, are revalued every 3 to 5 years, at",within the industrial,amounts based on
,values determined based on a valuation done,area. Machinery is,expert assessment.
,by Ms Accurate Valuers Limited on 29th,anchored in the,
,March 2022. Accurate Valuers Limited is an,factory buildings and,Changes in values of
,"accredited independent valuer, and an",is specialized in cable,"items of property,"
,industry specialist in valuing these types of,manufacturing only.,plant and equipment
,investment properties. The fair value of the,,were effected
,,Other items of,
,properties has not been determined on,,through the
,,"property, plant and",
,transactions observable in the market because,,revaluation reserve.
,,equipment like motor,
,of the nature of the property and lack of,,
,,"vehicles, furniture and",
,"comparable data. Instead, valuation model in",,
,,fittings is moveable in,
,accordance with that recommended by the,,
,,nature and is used to,
,International Valuation Standard Committee,,
,,facilitate manufacture,
,has been applied.,,
,,and sale of electrical,
,,cables and,
,The resulting fair value change is dealt with,conductors.,
,through other comprehensive income.,,
"Investment
Property",This is a residential property situated in Dar-,The property is in a,The management
,es-salaam Tanzania and is stated at fair value,prime area adjacent to,adopted the revalued
,"less costs to sell, which has been determined",the National Referral,amounts based on
,based on a valuation by Ms. Accurate,Hospital,expert assessment.
,Valuers Limited an accredited independent,,Fair value loss was
,valuer as at 29th March 2022.,,recognized through
,,,profit or loss.
,The property is occupied and generating,,
,r ental income.,,
"Right of use
assets",This relates to leasehold land upon which the,The right-of-use land,The management
,manufacturing plants are set up. These assets,is located in prime,adopted the revalued
,"are revalued every 3 to 5 years, at values,",locations within,amounts based on
,based on valuation done by Ms Accurate,Nairobi’s industrial,expert assessment.
,Valuers Limited on 29th March 2022.,area and Dar es,
,Accurate Valuers Limited is an accredited,salaam Nyerere road.,Changes in values of
,independent valuer and an industry specialist,,items of Right of
,in valuing these types of properties. The fair,,Use assets were
,value of the leasehold land has been,,effected through the
,determined based on comparable transaction,,revaluation reserve.
,"in the market. Additionally, valuation model",,
,in accordance with that recommended by the,,
,International Valuation Standard Committee,,
,has been applied.,,
