Group,Column,Company
2016,"2015
Kshs ‘000",2016
Kshs ‘000,,Kshs ‘000
"1,870","2,427
( 15,659)","1,870"
-,,-
"1,870","( 13,232)","1,870"
,"(331,932)
( 636)",
"(229,617)",,"(123,523)"
-,,-
"(229,617)","(332,568)","(123,523)"
"(227,747)","(345,800)","(121,653)"
-,"453,890",-
"(227,747)","108,090","(121,653)"
