"2005
Consolidated
KShs’000
1,162,041",Column,"2007
Consolidated
KShs’000
3,462,139"
"294,035
( 81,096)","422,812
( 138,177)","597,486
( 180,361)"
"212,939
( 2,372)","284,635
( 1,098)","417,125
( 43,097)"
"210,567
( 101,250)","283,537
( 141,750)","374,028
( 182,250)"
"109,317","141,787","191,778"
1.04,1.40,1.85
0.50,0.70,0.90
"306,715
745,455","661,926
1,245,731","981,352
2,228,347"
"1,052,170","1,907,657","3,209,699"
"101,250
289,612
70,875
( 4,095)
131,444","101,250
514,375
101,250
( 22,648)
110,783","101,250
661,628
182,250
( 10,677)
167,894"
"589,086
44,592
418,492","805,010
333,311
769,336","1,102,345
671,922
1,435,432"
"1,052,170","1,907,657","3,209,699"
