Skills and competences,"Amb
Awori","P.
Kanyago","W.
Muchemi",N. Njiinu,J. Mwatu,C. Kariuki,"P.
Muigai"
Years served on EAC Board,11,20,6,7,4,5,6
Age (Yrs),70,77,73,47,53,50,59
Gender,M,M,M,M,M,F,M
Strategy,√,√,√,√,√,√,√
Corporate Governance,√,√,√,√,√,√,√
Business Management,√,√,√,√,√,√,√
Audit / Finance,×,√,×,√,√,×,×
Risk management,√,√,√,√,√,√,√
Legal,×,×,√,×,×,×,×
Marketing/sales/distribution,√,√,×,√,×,√,√
Human resources,√,√,√,√,√,√,√
Manufacturing experience,√,√,×,√,×,×,√
Engineering,√,×,×,×,×,×,√
IT/ Technology,×,×,×,√,√,√,√
Public affairs,√,√,√,√,√,√,√
