"2006
Consolidated C
KShs’000
2,040,533",Column,"2008
Consolidated
KShs’000
3,929,312"
"422,812
( 138,177)","597,486
( 180,361)","669,927
( 207,167)"
"284,635
( 1,098)","417,125
( 43,097)","462,760
( 70,518)"
"283,537
( 141,750)","374,028
( 182,250)","392,242
( 202,500)"
"141,787","191,778","189,742"
1.40,1.85,1.94
0.70,0.90,1.00
"661,926
1,245,731","981,352
2,228,347","1,070,195
1,973,398"
"1,907,657","3,209,699","3,043,593"
"101,250
615,625
( 22,648)
110,783","101,250
843,878
( 10,677)
167,894","101,250
1,053,870
( 6,700)
218,419"
"805,010
333,311
769,336","1,102,345
671,922
1,435,432","1,366,839
488,078
1,188,676"
"1,907,657","3,209,699","3,043,593"
