2023:,Column,"At 1
January",Column,"Under / over
provision in
prior years",Column,"Recognised
through profit
or loss",Column,Column,Recognised,"Exchange
difference",Column,"Balance at 31
December",Column
,,,,,Under / over,,Recognised,,through other,,,,
,,,At 1,,provision in,,through profit,,comprehensiv,,Exchange,,Balance at 31
,2023:,,January,,prior years,,or loss,,e income,,difference,,December
,,,KShs’000,,KShs’000,,KShs’000,,KShs’000,,KShs’000,,KShs’000
,Staff gratuity provision,,"(12,167)",,-,,732,,"2,822",,( 741),,"( 9,354)"
,Other provisions and accruals,,"(349,205)",,-,,"(114,157)",,-,,"(24,619)",,"(487,981)"
,Tax losses,,"(389,985)",,-,,"3,783",,-,,-,,"(386,202)"
,"Property, plant & equipment",,"1,053,299",,"(40,555)",,"(38,463)",,-,,"71,619",,"1,045,900"
,Revaluation of investment property,,"30,677",,-,,-,,-,,"5,442",,"36,119"
,U nrealised exchange gain,,"35,229",,-,,"33,416",,-,,"(4,432)",,"64,213"
,,"367,848","367,848","(40,555)","(40,555)","(114,689)","(114,689)","2,822","2,822","47,269","47,269","262,695","262,695"
