Column,Member,Designation,Attendance
1,MG Waweru,Chairman,9/9
,PT Kanyago,Member,7/9
3,JB Thomas,Member,7/9
,D Awori,Member,8/9
5,N Njiinu,Member,8/9
,Cable Holdings (K) Limited,Appointed 28.08.2017,7/7
7,ZG Mbugua,Retired 22.06.2017,3/3
,P Arina,Resigned 31.08.2017,5/5
9,V Ndunge,Company Secretary,9/9
