Asset,"Expected proceeds
(KShs ‘m)",Timing,Status
"LR No. 3734/126 Nairobi, Kenya",110,April 2022,Completed.
Mapre Extruder Machine,100,31.12.2023,Seeking offers.
"LR No. 209/6982/2 in Industrial
Area Nairobi",250,31.12.2023,"Discussions with potential
buyers."
Totals,460,,
