New standard or amendments,"Effective for annual periods
beginning on or after"
"— Amendments to IAS 1 Classification of Liabilities as Current or
Non-current",1 January 2023
— Amendments to IFRS 17 Insurance Contracts,1 January 2023
"— Disclosure of Accounting Policies (Amendments to IAS 1 and
IFRS Practice Statement 2)",1 January 2023
— Definition of Accounting Estimate (Amendments to IAS 8),1 January 2023
"— Deferred Tax Related to Assets and Liabilities Arising from a
Single Transaction – Amendments to IAS 12 Income Taxes",1 January 2023
— Amendments to IFRS 16 — Leases,1 January 2024
— IAS 1 — Presentation of Financial Statements,1 January 2024
