Group,"Group
30-Jun-24
KShs’000",Company
30-Jun-25,,30-Jun-25
KShs’000,,KShs’000
"126,563","126,563
545
2,023,209
(1,667,965)
(76,337)","126,563"
545,,545
"2,023,209",,"1,390,868"
"(1,843,046)",,"(1,407,906)"
"(56,969)",,-
"250,301","406,014
(194,558)","110,069"
"(335,396)",,-
"(85,095)","211,456","110,069"
