"2022
Consolidated
KShs’000
2,605,761
(319,906)
(25,367)"
"(345,273)
87,017"
"(258,256)
-"
"(258,256)"
(1.02)
-
"4,401,492
956,602"
"5,358,094"
"126,563
763,100
(123,724)
(56,537)
709,402
2,528,462
2,201,230"
"5,358,094"
