"2016
Kshs‘000"
"3,255,984
(2,511,586)"
"744,398
15,108
( 290,454)
( 269,698)
( 98,160)"
"101,194
( 226,651)
( 191,914)"
"( 317,371)
( 180,396)
46,973"
"( 133,423)"
"( 450,794)
121,653"
"( 329,141)"
"-
-
-"
"-
111"
111
"( 329,030)"
