Column,Member,Designation,Attendance
1,PT Kanyago,Committee chair,5/5
,N Njiinu,Member,
3,Cable Holdings (K) Limited,Appointed 28.08.2017,1/1
,MG Waweru,Member up to 28.08.2017,
5,P Arina,Resigned 31.08.2017,4/4
,V Ndunge,Company Secretary,
