"Share
premium
KShs ‘000","Revaluation
reserve
KShs ‘000","Retained
earnings
KShs ‘000"
"545
-
-","397,570
-
-","1,072,538
275,559
278"
-,-,"275,837"
"-
-
-","-
-
-","( 202,500)
( 75,938)
( 25,313)"
-,-,"( 303,751)"
"545
-","397,570
-","1,044,624
363,442"
"-
-","234,889
(70,467)","-
563"
-,"164,422",563
-,"164,422","364,005"
"-
-","-
-","(126,563)
(101,250)"
-,-,"(227,813)"
545,"561,992","1,180,816"
