2019
49.00%
"1,573,677
368,976
( 393,835)
(1,049,029)
31,012"
"530,801"
"275,930"
"124,335
( 96,264)
368"
"( 96,632)"
"( 47,169)
182
92,964
-
( 93,461)"
( 497)
