Stakeholder,Why we engage,How we engage,Frequency
Suppliers,"• Raw material availability
• Responsible sourcing
and traceability
• Innovation capabilities","• Direct engagement with suppliers
• Correspondence through invoices,
LPOs and Memos
• Supplier prequalification and
audits",Daily
Employees,"• Job Security
• Equitable compensation
and benefits
• Safe working conditions
• Develop skillset
• Continuous learning and
development","• Staff meetings
• Townhalls and departmental
meetings
• Annual performance dialogue
• Group newsletter
• CEO communication to staff on
topical issues
• Health and wellness talks
• TPM groupings and team building
• Internal platforms including E-
mail, Face to-face interactions,
Video conferencing, Phone calls,
Messages, Management briefs and
Collective Bargaining Agreements",Regularly
Community,"• Local community
development.
• Security and social
support among
neighbours
• Fostering growth and
knowledge transfers to
Fundis and trading
partners
• Poverty eradication in
children’s home that we
support
• Tree planting in partner
schools","• Kitui Rd and Addis Ababa Rd
community groups
• Fundi workshops throughout the
country
• Partnership with KEFRI and
Centre for Character Development
in tree planting initiatives – Talks
to students.
• Partnerships with local
administration and security agents",Daily
Auditors,"• Facilitate in the pooling
of resources
• Gaining access to new
ideas, innovations, and
best practices
• Risk management
• Cost management","• Periodic audits
• Feedback on areas of
improvement
• Individual engagement on a need
basis",Quarterly
Media,"• Amplify brand message
• Build credibility and
trust
• Gaining insights into
industry trends
• Demonstrate
commitment to social
responsibility","• Media Briefings & Press releases.
• Interviews on Key announcements
or topics.
• Industry conferences and forums.
• Road shows
• Social media updates
• Participation in analysts’ forums",Daily
