Stakeholder,Why we engage,How we engage,Frequency
Shareholders,"• Strategic planning
• Financial performance
and reporting
• Risk management and
mitigation strategies
• Legal and regulatory
compliance","• Annual and Extraordinary General
Meetings
• Presentations by the Group CEO.
• Q&A published on the company
website
• Annual and Half-Year results
published online
• Open invitation to shareholders for
discussions
• Regular updates via press releases
and the website
• Engagement through mainstream
and social media",Annually
"Government
and regulators","• Compliance with
regulatory requirements
• Importation of raw
materials and exportation
of finished products
• Tax obligations
• Standardization marks
for products
• Employment of staff","• Participation in industry forums
• Engagement in public
procurement processes and tenders
• Advocacy and lobbying
• Statutory reporting",Regularly
Customers,"• Establishing strategic
partnerships.
• Innovation capabilities &
management by
obtaining feedback from
the market
• Product quality & safety
and best use","• Key account manager
relationships – ongoing dialogue.
• One on one engagement sessions
through regular site visits
• Road shows, market storms, Bill
Boards, TV adverts
• Social media updates",Daily
