Group,Column,Company
"2016
Kshs ‘000","2015
Kshs ‘000","2016
Kshs ‘000"
"( 258,851)","( 125,027)","( 180,396)"
"46,973","23,312
( 335,506)","46,973"
"( 66,983)",,-
"( 20,010)","( 312,194)","46,973"
