Column,NaMe OF DIReCTOR,"NO: OF BOaRD MeeTINgS
aTTeNDeD"
1,Francis Okomo-Okello,4
2,Mahmud Jan Mohamed,4
3,abdulmalek Virani,4
4,Jack Kisa,4
5,guedi ainache,4
6,Teddy Mapunda (Mrs),3
