Column,NaMe OF DIReCTOR,NO: OF BOaRD MeeTINgS aTTeNDeD
1,Francis Okomo-Okello,6
2,Mahmud Jan Mohamed,6
3,abdulmalek Virani,6
4,Jack Kisa,6
5,guedi ainache,4
6,Teddy Mapunda (Mrs),6
7,ameer Kassim-lakha,6
8,Mahmood Manji,4
9,Jean-louis Vinciguerra,0
10,ashish Sharma,5
11,Damien Braud,5
"Notes:
1. Six (6) Board meetings were held in 2016.
2. Mr. Jean-louis Vinciguerra was represented by his alternate Mr. ashish Sharma in five (5) of the Board meetings held during the year.",,
