Assumption,Approach used to determine values:
"1. EBITDA growth as determined by:
i) Room occupancy rates","Average room occupancy rate over the five-year forecast period; based on past performance and
management expectations of market development."
ii) Room rates,"Average annual growth rate over the five-year forecast period; based on current industry trends
and including long term country inflation forecast."
iii) Projected average gross margins,Based on past performance and management expectations of the future.
"2. Annual capital expenditure as a %
of revenue","Expected cash costs in the CGUs. This is based on the historical experience of management, the
planned refurbishment, or sustaining expenditure. No incremental revenue or cost savings are
assumed in the value-in-use model as a result of this expenditure."
3. Long term growth rate,"This is the weighted average growth rate used to extrapolate cash flows beyond the forecast period.
The rate is based on long term growth rate forecasts for the industry and Country."
4. Pre-tax discount rate,"Based on specific risks relating to the industry and country. Factors considered for the industry
include regulatory environment, market competition, and barriers to entry."
