"2016
Shs’000"
"182,174"
"4,392,668"
"2,534,165"
"(1,069,084)"
"2,366,122"
"63,761"
"8,469,806"
"1,095,815"
"9,565,621"
"3,187,561"
"2,157,622"
"21,891"
"5,367,074"
"14,932,695"
"11,156,265"
"1,274,154"
"1,001,972"
"188,044"
"13,620,435"
"490,885"
"1,158,746"
"261,426"
"1,451,623"
"3,362,680"
"1,534,800"
"515,620"
"2,050,420"
"1,312,260"
"14,932,695"
