"2020
Shs 000",Column,"2020
Shs 000"
"738,092",,"738,092"
"122,711",,"122,711"
"860,803","1,287,249","860,803"
,"4,535,026
1,926,286
437,586",
"5,729,598",,"5,729,598"
"1,420,403",,"1,420,403"
"413,287",,"413,287"
"7,563,288","6,898,898","7,563,288"
,"397,935
-",
"389,957",,"389,957"
-,,-
"389,957","397,935","389,957"
,"389
16,308",
"1,416",,"1,416"
"17,710",,"17,710"
"19,126","16,697","19,126"
