Column,NAME OF DIRECTOR,NO. OF BOARD MEETINGS ATTENDED
1,Francis Okomo-Okello,3
2,Mahmud Jan Mohamed,3
3,Guedi Ainache,3
4,Mahmood Manji,3
5,Nooren Hirjani,3
6,Jean-Benoit Du Chalard,3
"Notes:
1. Three (3) Board meetings were held in 2021 (2020: 4).
2. Due to the Covid-19 pandemic, all Board meetings were held virtually via electronic communication.",,
