Number of Share,% Shareholding
"47,308,507",44.69
"12,026,743",11.36
"6,776,060",6.40
"5,497,920",5.19
"4,719,600",4.46
"2,050,000",1.94
"1,636,200",1.55
"1,388,541",1.31
"693,900",0.66
"693,720",0.65
"82,791,191",78.21
"23,073,551",21.79
"105,864,742",100.00
