Column,NO.OF SHAREHOLDERS,NO OF SHARES,% SHAREHOLDING
Foreign Investors,139,"217,321,152",76.89
Local Institutions,427,"48,395,434",17.12
Local Individuals,"7,668","16,933,993",5.99
,"8,234","282,650,579",100.00
