Number,Executive summary,Effective date
"Amendments to IAS 1 - Non-current
liabilities with covenants","These amendments clarify how conditions
with which an entity must comply within
twelve months after the reporting period
affect the classification of a liability.
The amendments also aim to improve
information an entity provides related to
liabilities subject to these conditions.","Annual periods beginning on or after 1
January 2024"
"Amendment to IFRS 16 – Leases on sale and
leaseback","These amendments include requirements for
sale and leaseback transactions in IFRS 16 to
explain how an entity accounts for a sale and
leaseback after the date of the transaction.
Sale and leaseback transactions where some
or all the lease payments are variable lease
payments that do not depend on an index or
rate are most likely to be impacted.","Annual periods beginning on or after 1
January 2024"
"IFRS S1, ‘General requirements for
disclosure of sustainability-related financial
information","This standard includes the core framework
for the disclosure of material information
about sustainability-related risks and
opportunities across an entity’s value chain","Reporting periods beginning on or after 1
January 2024. This is subject to endorsement
of the standards by local jurisdictions."
"IFRS S2, ‘Climate-related disclosures’","This is the first thematic standard issued
that sets out requirements for entities to
disclose information about climate-related
risks and opportunities.","Reporting periods beginning on or after 1
January 2024. This is subject to endorsement
of the standards by local jurisdictions."
