Group Company,Column,Column
"2009 2008 2009 2008
Shs’000 Shs’000 Shs’000 Shs’000",,
"301,327 159,675
69,304 40,694
29,247 45,203
70,441 74,920","- -
- -
- -
- -",
"470,319 320,492",- -,
"62,193 53,585",- -,
,,47
