Column,"2021
Shs 000","2020
Shs 000"
Revenue,"3,287,798","2,034,160"
EBITDA,"284,513","(437,785)"
*EBITDA (%),8.7%,(21.5%)
(Loss) / Profit before income tax,"(703,987)","(1,658,909)"
(Loss) / Profit before tax (%),(21.4%),(81.6%)
Earnings per share (Shs.),(3.40),(6.32)
Net assets,"(492,138)","(745,522)"
