Notes,"2009
Shs’000","2008
Shs’000"
"26
8","603,777
(118,735)
(24,678)","668,958
(120,068)
(80,167)"
,"460,364","468,723"
"18
17
24","(359,197)
463
-
(188,408)","(160,057)
2,048
(23,633)
19,705"
,"(547,142)","(161,937)"
,"319,879
(104,125)
(132,331)","273,865
(382,051)
(132,331)"
,"83,423","(240,517)"
,"(3,355)","66,269"
,"45,806
(3,355)
6,746","(20,758)
66,269
295"
24,"49,197","45,806"
