Error Type,Nature of Error,Correction applied
Discount Rate Application,"Incorrect incremental borrowing rates
applied, resulting in understated lease
liabilities.","Recalculated lease liabilities using correct
discount rates at commencement date and
using the correct US$ rate and strengthening
internal controls over lease accounting."
Initial/Subsequent Measurement Errors,"Incorrect treatment of fixed lease payments,
errors in depreciation.","Recognised adjusted right of use of assets,
corrected depreciation and interest expense."
