"2021
Shs’000",Column,"2021
Shs’000"
"5,729,598",,"1,416"
"296,802",,-
"(38,736)",,"(1,416)"
"(27,213)",,-
-,,"1,640,675"
"277,171",,-
"(43,130)",,-
"6,194,492","5,729,599","1,640,675"
