Column,NO.OF SHaReHOlDeRS,NO OF SHaReS,% SHaReHOlDINg
Foreign Investors,160,"120,762,146",66.29
local Institutions,462,"45,591,857",25.03
local Individuals,"7,895","15,820,105",8.68
,"8,517","182,174,108",100.00
