"Depreciation Income
and tax Total
Revenue EBITDA amortisation expense Total assets liabilities Goodwill
Shs’000 Shs’000 Shs’000 Shs’000 Shs’000 Shs’000 Shs’000"
"1,298,825 302,370 (84,233) (20,510) 1,744,700 - 230,152
601,019 (19,486) (49,097) (16,786) 833,933 - 110,008
1,343,359 423,804 (82,514) (69,178) 2,024,279 1,060,522 733,218"
"3,243,203 706,688 (215,844) (106,474) 4,602,912 1,060,522 1,073,378
- (15,435) (158) (823) 1,904,084 1,695,549 4,491"
"3,243,203 691,253 (216,002) (107,297) 6,506,996 2,756,071 1,077,869"
