Column,NAME OF DIRECTOR,NO. OF BOARD MEETINGS ATTENDED
1,Francis Okomo-Okello,5
2,Mahmud Jan Mohamed,5
3,Teddy Mapunda (Mrs),4
4,Ameer Kassim-Lakha,5
5,Guedi Ainache,4
6,Ashish Sharma,3
7,Mahmood Manji,4
8,Nooren Hirjani,5
9,Jean-Louis Vinciguerra,0
10,Jean-Benoit Du Chalard,4
"Notes:
1. Five (5) Board meetings were held in 2019.
2. Mr. Jean-Louis Vinciguerra was represented by his alternate Mr. Ashish Sharma in four (3) of the Board meetings held during the year.
3. Mr. Jean-Louis Vinciguerra resigned on 12.08.2019 and Mr. Ashish Sharma ceased to be Mr. Vinciguerra’s alternate as at that date.",,
