Notes,"2009
Shs’000","2008
Shs’000"
"12
12
13
11","105,865
1,906,676
661,704
(114,995)
1,372,809
132,331","105,865
1,906,676
678,816
(171,905)
1,099,142
132,331"
,"4,064,390","3,750,925"
"14
15
16","1,206,809
627,788
109,174","1,052,754
590,947
95,013"
,"1,943,771","1,738,714"
,"6,008,161","5,489,639"
"18
19
20
22
17
15","4,249,482
12,413
1,077,869
29,630
55,051
49,470","4,015,288
12,573
1,077,869
29,917
55,051
66,378"
,"5,473,915","5,257,076"
"23
24","266,901
902,996
352,384","243,533
874,121
132,266"
,"1,522,281","1,249,920"
"25
14","611,298
49,999
326,738","779,684
953
236,720"
,"988,035","1,017,357"
,"534,246","232,563"
,"6,008,161","5,489,639"
