Identity of related parties,Relationship
Aga Khan Fund for Economic Development SA,Ultimate holding company
Diamond Trust Bank Kenya Limited,Affiliate
Diamond Trust Bank Uganda Limited,Affiliate
The Jubilee Insurance Company of Kenya Limited,Affiliate
African Broadcasting (Uganda) Limited,Affiliate
Monitor Publication Limited,Affiliate
Farmer’s Choice Limited,Affiliate
Diamond Trust Bank Tanzania Limited,Affiliate
The Jubilee Insurance Company (Tanzania) Limited,Affiliate
Aga Khan Education Services (Uganda),Affiliate
Aga Khan Foundation,Affiliate
Aga Khan University Hospital (Kenya & Uganda),Affiliate
Aga Khan Council,Affiliate
Industrial Promotion Services (Kenya) Limited,Affiliate
Nation Media Group,Affiliate
The Jubilee Insurance Company of Uganda Limited,Affiliate
Monitor Publications,Affiliate
African Broadcasting Services,Affiliate
"Hoteis Polana, S.A.",Affiliate
Mountain Lodges Limited,Associate
Pearl Development Group Limited,Affiliate
Tourism Promotion Services (Rwanda) Limited,Associate
TPS (Cayman) Limited,Associate
TPS (D) Limited,Associate
Goma Serena Hotel,"Affiliate
TPS EASTERN AFRICA PLC ANNUAL REPORT AND"
