Column,NO.OF SHAREHOLDERS,NO OF SHARES,% SHAREHOLDING
Foreign Investors,145,"217,540,582",76.96
Local Institutions,431,"48,460,477",17.15
Local Individuals,"7,686","16,649,520",5.89
,"8,262","282,650,579",100.00
