Lead Transaction Advisers and Sponsoring Stockbrokers:,Column
"Kestrel Capital (East Africa) Limited
5th Floor ICEA Building
Kenyatta Avenue
P.O. Box 40005-00100
Nairobi, Kenya","Standard Investment Bank Limited
16th Floor, ICEA Building
P.O. Box 13714-00800
Kenyatta Avenue
Nairobi, Kenya"
"Legal Adviser:
Kaplan & Stratton Advocates
9th Floor, Williamson House
4th Ngong Avenue
P.O Box 40111-00100
Nairobi, Kenya","Receiving Bank:
Diamond Trust Bank Kenya Limited
8th Floor, Nation Centre
Kimathi Street
P.O. Box 61711-00200
Nairobi, Kenya"
"Registrar/Receiving Agent:
Image Registrars Limited
8th Floor, Transnational Plaza
Mama Ngina Street
P.O. Box 9287 - 00100
Nairobi, Kenya","Public Relations:
Hill & Knowlton
Riverside Green Offices
1st Floor - Baobab Suite
P.O. Box 34537-00100
Nairobi, Kenya"
Underwriters:,
"CfC Stanbic Bank Limited
CfC Stanbic Centre, Westlands Road, Chiromo
P.O. Box 72833-00200
Nairobi, Kenya","Diamond Trust Bank Kenya Limited
8th Floor, Nation Centre
Kimathi Street
P.O. Box 61711-00200
Nairobi, Kenya"
"Reporting Accountants:
PricewaterhouseCoopers
Certified Public Accountants
7th Floor, Rahimtullah Tower, Upper Hill
P.O. Box 43963 - 00100
Nairobi, Kenya",
