Column,ECONOMIC IMPACT IN EAST AFRICA (8 Years),Column,Column,Column,Column,Column
,Direct,Indirect,Induced,Spillover,TOTAL,Basis Used
Per Annum,,,,,,
Jobs Created – average per annum,"3,719","9,285","2,713",676,"16,392","Headcount expressed in Full
Time Equivalent (FTE) per
annum."
"Number of People Supported within
the Households as a result of the Jobs
Created – average per annum","16,582","42,776","12,474","3,118","74,949","Headcount multiplied by the
Country’s average number of
people per household."
8 Years (2013 to 2020),,,,,,
"TOTAL ECONOMIC IMPACT -
Contribution to Gross Domestic Product
in East Africa - $ Million (Note 1)",949,994,55,14,"2,012","Direct, indirect, induced,
spillover revenues and tax
collection deriving from
Serena Hotels operations."
Note 1: The ECONOMIC IMPACT in the line above has been derived from the below and covers 20 Serena properties:,,,,,,
Value Creation by Guests - $ Million,165,469,-,-,634,"Value creation at Serena
Hotels and non-hotel
expenditure during their
visit."
Payroll & Related - $ Million,175,182,55,14,426,"Amounts paid to Serena
Direct employees and all
along the value chain."
"Local Procurement (food, beverage,
utilities, repairs & maintenance and
other operating costs)- $ Million",378,-,-,-,378,"Consumption of non-
imported goods and services
by Serena Hotels operations."
"Direct & Indirect Taxes (includes park/
conservancy fees, visas) - $ Million",184,343,-,-,527,"Taxes collected from Serena
Hotels and indirect tax
through Serena Hotels supply
chain."
"Capital Expenditure (renovations,
expansions, improvements) - $ Million",47,-,-,-,47,"Capital investments
by Serena Hotels for
renovations, expansions or
improvements."
