"2021
Shs 000",Column,"2021
Shs 000"
"1,031,395",,"1,031,395"
"310,805",,"310,805"
"1,342,200","817,916","1,342,200"
,"5,729,598
1,420,403
413,287",
"6,194,492",,"7,056,489"
"1,884,648",,"1,884,648"
"274,433",,"282,225"
"8,353,573","7,563,288","9,223,362"
,"389,957
-",
"359,996",,"359,996"
188,,188
"360,184","389,957","360,184"
,"1,416
17,710",
"1,640,675",,"1,832,634"
"55,303",,"55,303"
"1,695,978","19,126","1,887,937"
