New standard or amendments,"Effective for annual
periods beginning on or
after"
Lack of Exchangeability (Amendments to IAS 21),1 January 2025
"Amendments to the Classification and Measurement of Financial Instruments (Amendments to IFRS
9 and IFRS 7)",1 January 2026
"Annual improvements to IFRS Accounting Standards –
Amendments to:
- IFRS 1 First-time Adoption of IFRS Accounting Standards; IFRS 7 Financial Instruments:
- Disclosure and it’s accompanying Guidance on implementing IFRS 7;
- IFRS 9 Financial Instruments;
- IFRS 10 Consolidated Financial statements; and
- IAS 7 Statement of Cashflows",
Contracts Referencing Nature – dependent Electricity - Amendments to IFRS 9 and IFRS 7,1 January 2027
IFRS 18 Presentation and Disclosure in Financial Statements,1 January 2027
IFRS 19 Subsidiaries without Public Accountability: Disclosures,1 January 2027
"Sale or Contribution of Assets between an Investor and its Associate or Company (Amendments to
IFRS 10 and IAS 28).",Optional
