Standard,Years restated,Effect details
"IAS 1 Presentation of
–
financial statements
(effective 1 January 2009)",2005 to 2007,"Changes to the titles of financial statements and
presentation of owner and non-owner changes
in equity in two statements, a statement of
comprehensive income and a statement of
changes in equity respectively, with no impact
on earnings per share."
"IFRS 7 Financial
–
Instruments, Disclosure
(effective 1 January 2007)",2005 to 2006,"New disclosures to improve the information
about financial instruments. Additional
disclosure of qualitative and quantitative
information about exposure to risks arising from
financial instruments, including specified
minimum disclosures about credit risk, liquidity
risk and market risk, including sensitivity
analysis to market risk.
Enhanced disclosures about fair value
measurement and liquidity risk. In particular, the
disclosure of fair value measurements by level
of fair value measurement hierarchy."
"IAS 24 Related Party
–
Disclosures",2005,"The identification of related parties and some
related party disclosures."
"IFRS 8 Operating
–
Segments
(effective 1 January 2009)",2005 to 2007,"The new standard requires a 'management
approach', under which segment information is
presented on the same basis as that used for
internal reporting purposes. In addition, the
segments are reported in a manner that is more
consistent with the internal reporting provided to
the chief operating decision-maker."
