"2024
Shs’000",Column,"2024
Shs’000"
"2,004,550",,"(38,821)"
"338,491",,-
"1,955",,-
"(47,704)",,"(9,471)"
"153,485",,-
"582,845",,-
"86,878",,-
"1,814",,-
-,,-
"(572,520)",,-
"(258,993)",,-
"173,609",,-
"(19,665)",,-
"18,855",,-
"8,750",,-
"(10,387)",,-
"(48,647)",,"362,058"
"14,615",,-
"(21,249)",,"10,032"
"2,406,682","2,868,547","323,798"
