Column,NO.OF SHaReHOlDeRS,NO OF SHaReS,% SHaReHOlDINg
Foreign Investors,147,"119,482,115",65.59
local Institutions,548,"47,094,970",25.85
local Individuals,"7,982","15,597,023",8.56
,"8,677","182,174,108",100
