Rights Issue Ratio of the Offer,1 for 5
Offer Price per share,KES 48.00
Par Value of each share,KES 1.00
Total number of authorised shares of TPSEA,"192,000,000"
Total number of issued and fully paid up shares before Rights Issue,"123,508,866"
Authorised share capital of TPSEA,"KES 192,000,000"
Fully paid up share capital of TPSEA before Rights Issue,"KES 123,508,866"
EPS for the year ended 31 December 2009,KES 3.60
Post Bonus Issue (Adjusted) 2009 EPS,3.08
DPS for year ended 31 December 2009,KES 1.25
Net Asset Value per share for the year ended 31 December 2009,KES 38.39
Post Bonus Issue (Adjusted) 2009 Net Asset Value per share,KES 32.91
"Post Bonus Issue (Adjusted) Implied historic P/E based on Offer Price and
the diluted 2009 EPS",15.58
"Market Capitalisation based on the closing price of KES. 57 at the Nairobi
Stock Exchange on 29th June 2010","KES 7,040,000,000"
Number of new shares on offer under the Rights Issue,"24,701,774"
Expected gross proceeds of the offer,"KES 1,185,685,152"
Approximate net proceeds of the offer,"KES 1,142,745,415"
"Total number of issued and fully paid up shares after the Rights Issue
assuming full subscription","148,210,640"
"Fully paid up share capital of TPSEA post Rights Issue assuming full
subscription","KES 148,210,640"
Post Rights Issue (Adjusted) 2009 EPS assuming full subscription,KES 2.57
