Assumption,Approach used to determine values:
Room occupancy rates,"average room occupancy rate over the five-year forecast period; based on past performance and
management expectations of market development."
Room rates,"average annual growth rate over the five-year forecast period; based on current industry trends
and including long term country inflation forecast."
Budgeted average gross margin,Based on past performance and management expectations of the future.
annual capital expenditure,"expected cash costs in the CgUs. This is based on the historical experience of management, the
planned refurbishment, or sustaining expenditure. No incremental revenue or cost savings are
assumed in the value-in-use model as a result of this expenditure."
long term growth rate,"This is the weighted average growth rate used to extrapolate cash flows beyond the budget period.
The rate is based on long term growth rate forecasts for the industry and Country."
Pre-tax discount rate,"Based on specific risks relating to the industry and country. Factors considered for the industry
include regulatory environment, market competition, and barriers to entry."
