"2017
Shs’000"
"182,174"
"4,392,668"
"2,480,830"
"(1,019,030)"
"2,315,239"
"63,761"
"8,415,642"
"748,975"
"9,164,617"
"3,819,714"
"2,028,010"
"21,084"
"5,868,809"
"15,033,426"
"12,592,569"
"1,274,154"
"972,612"
831
"14,840,166"
"499,821"
"1,332,411"
"140,016"
"674,409"
"2,646,657"
"1,796,277"
"657,120"
"2,453,397"
"193,260"
"15,033,426"
