Record Date (Register Closure Date),5.00 p.m. on 29th July 2010
"Upload of Rights into CDS accounts and distribution of
Information Memorandum, PAL, Form of Renunciation and
Form of Power of Attorney to TPSEA shareholders",5th August 2010
"Issue Opens and commencement in dealings in the Rights
(nil paid) on the NSE",9.00 a.m. on 12th August 2010
Last date for immobilisation of provisional Rights,3.00 p.m. on 16thAugust 2010
"Last date for renunciation (by way of private transfers) and
last date for splitting",3.00 p.m. on 19thAugust 2010
Last date for dealing in the Rights (nil paid),3.00 p.m. on 23rdAugust 2010
"Closing Date - Last date and time for acceptance and
payment for New Shares and Additional New Shares",3.00 p.m. on 31stAugust 2010
Public announcement of Rights Issue results,24th September 2010
Last date and time for payment by RTGS for Additional,3.00 p.m. on 27thSeptember
