Column,NO.OF SHaReHOlDeRS,NO OF SHaReS,% SHaReHOlDINg
Foreign Investors,152,"120,448,024",66.12
local Institutions,480,"44,304,580",24.32
local Individuals,"7,978","17,421,504",9.56
,"8,610","182,174,108",100.00
