Name,Occupation,Address,Nationality
Francis Okomo-Okello,Chairman,"P.O. Box 30500-00100,
Nairobi, Kenya",Kenyan
Mahmud Janmohamed,Group managing director,"P.O. Box 48690-00100,
Nairobi, Kenya",Kenyan
Abdulmalek J. Virani,Group finance director,"P.O. Box 48690-00100,
Nairobi, Kenya",Kenyan
Jean-Louis Vinciguerra,Non-executive director,"1 Ð 3 Avenue de la Paix,
Geneva, Switzerland",French
Dr. Ramadhani Dau,Non-executive director,"P.O. Box 1322, Dar-es-
Salaam, Tanzania",Tanzanian
KungÕ u Gatabaki,Non-executive director,"P.O. Box 55414-00100,
Nairobi, Kenya",Kenyan
Mahmood Manji,Non-executive director,"P.O. Box 74445, Nairobi,
Kenya",Kenyan
Ameer R. Kassim-Lakha,Non-executive director,"P.O. Box 40130-00100,
Nairobi, Kenya",Kenyan
Kate Bandawe,"Alternate Director to Dr
Ramadhani Dau","P.O. Box 1322, Dar-es-
Salaam, Tanzania",Tanzanian
Kabir Hyderally,Non-executive director,"P.O. Box 30376-00100,
Nairobi, Kenya",Pakistani
Jack Kisa,Non-executive director,"P.O. Box 24204-00502,
Nairobi, Kenya",Kenyan
Wolfgang Bertelsmeier,Non-executive director,"2737 Devonshire Place, N.W.
Washington D.C 2008,
U.S.A.",German
