"2010
Shs’000
1,512,792
(136,266)
(126,645)"
"1,249,881"
"(1,840,991)
227,433
(161,200)
(591,652)
111,882"
"(2,254,528 )"
"1,150,455
136,670
(132,331)"
"1,154,794"
"150,147"
"49,197
150,147"
"199,344"
