Column,NaMe OF DIReCTOR,"NO: OF BOaRD MeeTINgS
aTTeNDeD"
7,ameer Kassim-lakha,4
8,Kabir Hyderally,0
9,Jean-louis Vinciguerra,0
10,ashish Sharma (alternate to Jean-louis Vinciguerra),4
11,Dr. Ramadhani Dau,0
12,Mseli abdallah (alternate to Dr. Ramadhani Dau),4
13,Mahmood Manji,2
"Notes:
1. Quarterly Board meetings were held during 2014.
2. Mrs.Teddy Mapunda was appointed in the 2nd quarter of 2014 and was therfore only eligible to attend three (3) meetings during the year.
3. Mr. Mahmood Manji was appointed in the 3rd quarter of 2014 and was therfore only eligible to attend two (2) meetings during the year.
4. Dr. Ramadhani Dau was represented by his alternate Mr. Mseli abdallah in all four (4) meetings held during the year.
5. Mr. Jean-louis Vinciguerra was represented by his alternate Mr. ashish Sharma
6. Mr. Kabir Hyderally passed away on 1st March, 2015 and did not attend any of the meetings following his relocation to his home country,
Pakistan, during the year.",,
